country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.23,0.12,0.12,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0.05,0.05,0.92,0.76,0.17,0.21,0.2,0.19,0.19,0.17,0.15
Angola,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,3.13,1.82,0.82,0.9,1.06,1.08,1.04,0.96,0.92,0.89,0.85,0.82,0.11,0.1,0.09,0.09,0.08,0.08,0.08,0.07,0.06,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.07,0.08,0.08,0.08,0.17,0.17,0.17,0.16,0.16,0.24,0.22,0.17,0.17,0.16,0.16
Albania,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.09,0.09,0.14,0.15,0,0.69,0.12,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0.03,0.1,0.01,0.01,0,0,0,0.08
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UAE,,,,,,,,,,,,,,,,,,0.14,0.12,0,0.25,0.22,0.72,0.24,0,0.65,0.06,0.05,0.06,0.25,0.55,0.32,0.33,0.4,1.91,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.01,0.01,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.08,0.09,0.09,0.09,0.09
Argentina,,,,,,,,,,,,,,,,,,,0.14,0.15,0.14,0.13,0.15,0.18,0.18,0.16,0.13,0.1,0.1,0.09,0.09,0.04,0.04,0.04,0.05,0.05,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.31,0.41,0.41,0.4,0.4
Armenia,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.39,9.66,9.01,6.59,6.64,6.69,9.57,9.24,8.86,8.44,7.97,7.76,7.68,7.21,3.76,0.16,0.14,0.12,0.11,0.1,0.11,0.48,0.61,0.67,0.63,0.63,0.64,0.64,3.85,1.25,1.25
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0,0,0
Australia,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.35,0.37,0.36,0.34,0.33,0,0,0,0,0,0,0,2.12,2.09,2.07,2.12,2.09,2.06,0.57,0.56,0.54,0.54,0.55,0.58,0.57,0.31,0.3,0.3,0.32,0.35,0.37,0.36,0.37,0.35,0.37,0.36,0.34,0.3,0.34,0.33,0.34,0.11,0.11,0.11,0.12,0.13,0.18,0.21,0.24,0.24,0.3,0.39,0.47,0.54,0.54,0.53,0.53
Austria,4.07,3.44,3.1,2.16,1.58,2.01,0.98,0.76,0.63,0.55,0.48,0.42,0.38,0.35,0.34,0.33,0.33,0.32,0.34,0.34,0.33,0.33,0.33,0.33,0.26,0.33,0.26,0.26,0.33,0.21,0.24,0.46,0.49,0.52,0.54,0.54,0.54,0.53,0.52,0.45,0.44,0.8,0.73,0.51,0.43,1.12,1.06,1.01,1.03,0.32,0.37,0.54,0.61,0.69,0.75,0.82,0.83,0.89,0.85,0.82,0.85,0.88,0.92,0.98,1.76,1.94,1.95,1.88,1.83,1.82,2.02,3
