country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.85,13.9,34.8,44.5,47.4,43.1,44.3,48.8,53.4,54.1,52.9,59.3,58.7,37.8,24.1,17.7,16.3,15.6,15.1,14.4,13.5,18.6,19.5,12.1,9.55,10.3,8.93,8.34,11.9,10.8,10.7,11,9.24,8.69,8.34,8.2,8.67,8.29,8.3,8.15,7.89,7.27,7.42,7.56
Angola,,,,,,,,,,2.8,2.76,3.08,3.13,3.53,3.84,5.25,6.11,6.5,6.89,6.87,6.79,6.62,6.48,7.31,7.14,6.87,7.05,8.31,8.12,5.39,5.3,5.21,3.21,3.72,3.18,3.44,3.66,3.68,3.57,3.45,3.12,2.38,2.48,2.1,1.77,1.74,1.8,2.08,2.23,2.68,2.84,2.57,1.88,1.27,1.15,1.03,0.89,0.79,0.63,0.58,0.53,0.08,0.04,0.04,0.05,0.05,0.05,0.05,0.06,0.06,0.07,0.07
Albania,,,,,,,,,,,,,,0.01,0.24,0.23,0.2,0.19,0.19,0.19,0.02,0.09,0.08,0.01,0.01,0,0.07,0.07,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0,0,0.01,0.01,0.06,0.11,0.13,0.14,0.15,0.18,0.18,0.17,0.17,0.2,0.3,0.37,0.5,0.48,0.45,0.5,0.54,0.57,0.57,0.59,0.55,0.54,0.56,0.69,0.88,1.82,1.21,1.07,1.2,1.18,1.16,1.48,1.58
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.01,0.01,0.01
UAE,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0
Argentina,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,,,,,,,,,,,,,,0.01,0,0,0,0.01,0.01,0.01,0.16,0.13,0,0,0,0,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0,0,0,5.46,5.79,5.98,6.06,6.16,6.23,5.96,6.03,0.35,0.42,0.61,0.59,0.57,0.6,0.67,0.65,0.67,0.75,0.7,0.65,0.65,0.6,0.63,0.68,0.83,0.9,0.87,0.78,0.68,0.77,0.9
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.06,0.03,0.03,0.03,0.03,0.03,0.06,0.08,0.07,0.07,0.09,0.09,0.08,0.08,0.12,0.18,0.17,0.2,0.17,0.17,0.11
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.92,4.24,3.82,2.54,2.97,2.94,4.1,3.84,3.54,3.31,3.17,3.05,2.97,2.75,1.47,0.2,0.2,0.21,0.2,0.2,0.19,0.15,0.15,0.15,0.18,0.2,0.2,0.19,1.05,0.43,0.45
